epochs,train_auc
1,0.5108858942985535
2,0.5148918628692627
3,0.5683906674385071
4,0.6436356902122498
5,0.7023599743843079
6,0.7305383682250977
7,0.7665293216705322
8,0.7790809273719788
9,0.7960024476051331
10,0.8025286197662354
11,0.8104043006896973
12,0.8187239170074463
13,0.8173973560333252
14,0.8243494629859924
15,0.8348280787467957
16,0.8401540517807007
17,0.8526037931442261
18,0.8585115671157837
19,0.8627828359603882
20,0.8710474967956543
21,0.8671620488166809
22,0.8761941194534302
23,0.882636308670044
24,0.88004070520401
25,0.8731436133384705
26,0.8772761821746826
27,0.8678783774375916
28,0.870720624923706
29,0.8589175343513489
30,0.8667368292808533
31,0.8461991548538208
32,0.8367627859115601
33,0.8354915976524353
34,0.8468473553657532
35,0.8484857082366943
36,0.8559019565582275
37,0.8387264609336853
38,0.8297382593154907
39,0.8419253826141357
40,0.8430388569831848
